,x,y,tyndp_status,commissioning_year,v_nom,dc,tags
5105,5.061511,51.608344,in_permitting,2029,380.0,False,"""name""=>""Tilburg"", ""country""=>""NL"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/346"", ""tyndp2020_proj_id""=>""346"", ""tyndp2020_invest_id""=>""1544"", ""tyndp_status""=>""in_permitting"""
5762,6.474759,53.213488,under_construction,2023,380.0,False,"""name""=>""Vierverlaten"", ""country""=>""NL"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/348"", ""tyndp2020_proj_id""=>""348"", ""tyndp2020_invest_id""=>""1546"", ""tyndp_status""=>""under_construction"""
4893,9.988131,51.954234,under_construction,2024,380.0,False,"""name""=>""Lamspringe"", ""country""=>""DE"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1043"", ""tyndp2020_proj_id""=>""1043"", ""tyndp2020_invest_id""=>""1686"", ""tyndp_status""=>""under_construction"""
5098,4.307132,51.301299,under_construction,2019,380.0,False,"""name""=>""Lillo"", ""country""=>""BE"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/297"", ""tyndp2020_proj_id""=>""297"", ""tyndp2020_invest_id""=>""605"", ""tyndp_status""=>""under_construction"""
5095,4.218787,51.424034,under_construction,2022,380.0,False,"""name""=>""Borssele"", ""country""=>""NL"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1063"", ""tyndp2020_proj_id""=>""1063"", ""tyndp2020_invest_id""=>""1731"", ""tyndp_status""=>""under_construction"""
3786,9.556022,47.302744,under_consideration,2035,380.0,False,"""TSO""=>""VUEN"", ""oid""=>""32065"", ""country""=>""AT"", ""visible""=>""1"", ""tie_line_s""=>""1"", ""ModifiedDate""=>""1516184922000"", ""visible_on_printed""=>""1"", ""name""=>""Rüthi"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/263"", ""tyndp2020_proj_id""=>""263"", ""tyndp2020_invest_id""=>""1258"", ""tyndp_status""=>""under_consideration"""
7100,6.590884,49.789617,planned_not_yet_permitting,2025,400.0,False,"""name""=>""Aach"", ""country""=>""DE"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/328"", ""tyndp2020_proj_id""=>""328"", ""tyndp2020_invest_id""=>""1620"", ""tyndp_status""=>""planned_not_yet_permitting"""
2130,17.436701,43.052743,under_consideration,2035,400.0,False,"""name""=>""Ploce"", ""country""=>""HR"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1056"", ""tyndp2020_proj_id""=>""1056"", ""tyndp2020_invest_id""=>""1719"", ""tyndp_status""=>""under_consideration"""
2280,16.78425,43.503952,under_consideration,2035,400.0,False,"""name""=>""Zone 5"", ""country""=>""HR"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1056"", ""tyndp2020_proj_id""=>""1056"", ""tyndp2020_invest_id""=>""1718"", ""tyndp_status""=>""under_consideration"""
1322,15.3286,40.9749,under_construction,2021,400.0,False,"""name""=>""Bisaccia"", ""country""=>""IT"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/127"", ""tyndp2020_proj_id""=>""127"", ""tyndp2020_invest_id""=>""96"", ""tyndp_status""=>""under_construction"""
3264,26.7166,45.0762,under_construction,2023,400.0,False,"""name""=>""Stalpu"", ""country""=>""RO"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138"", ""tyndp2020_proj_id""=>""138"", ""tyndp2020_invest_id""=>""715"", ""tyndp_status""=>""under_construction"""
2201,20.725963,41.239159,under_construction,2020,400.0,False,"""name""=>""Ohrid area"", ""country""=>""MK"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/350"", ""tyndp2020_proj_id""=>""350"", ""tyndp2020_invest_id""=>""1623"", ""tyndp_status""=>""under_construction"""
3367,21.88777,45.30413,under_construction,2025,400.0,False,"""name""=>""Resita"", ""country""=>""RO"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144"", ""tyndp2020_proj_id""=>""144"", ""tyndp2020_invest_id""=>""701"", ""tyndp_status""=>""under_construction"""
3366,21.2815,45.7426,in_permitting,2025,400.0,False,"""name""=>""Timisoara"", ""country""=>""RO"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144"", ""tyndp2020_proj_id""=>""144"", ""tyndp2020_invest_id""=>""705"", ""tyndp_status""=>""in_permitting"""
2119,19.500315,43.953021,in_permitting,2024,400.0,False,"""name""=>""Bajina Basta"", ""country""=>""RS"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/227"", ""tyndp2020_proj_id""=>""227"", ""tyndp2020_invest_id""=>""631"", ""tyndp_status""=>""in_permitting"""
4635,15.5,51.93333,under_consideration,2035,,False,"""name""=>""Zielona Góra"", ""country""=>""PL"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/229"", ""tyndp2020_proj_id""=>""229"", ""tyndp2020_invest_id""=>""1272"", ""tyndp_status""=>""under_consideration"""
3318,18.420959,45.289022,under_consideration,2033,400.0,False,"""name""=>""Dakovo"", ""country""=>""HR"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/241"", ""tyndp2020_proj_id""=>""241"", ""tyndp2020_invest_id""=>""1278"", ""tyndp_status""=>""under_consideration"""
2106,18.436344,44.904884,under_consideration,2032,400.0,False,"""name""=>""Gradacac"", ""country""=>""BA"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/241"", ""tyndp2020_proj_id""=>""241"", ""tyndp2020_invest_id""=>""1531"", ""tyndp_status""=>""under_consideration"""
2749,-1.671123,41.952398,planned_not_yet_permitting,2030,400.0,False,"""name""=>""Aragon region"", ""country""=>""ES"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/270"", ""tyndp2020_proj_id""=>""270"", ""tyndp2020_invest_id""=>""1215"", ""tyndp_status""=>""planned_not_yet_permitting"""
2267,15.26017,44.886816,planned_not_yet_permitting,2029,400.0,False,"""name""=>""Lika"", ""country""=>""HR"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/343"", ""tyndp2020_proj_id""=>""343"", ""tyndp2020_invest_id""=>""1535"", ""tyndp_status""=>""planned_not_yet_permitting"""
4500,18.287416,49.038186,planned_not_yet_permitting,2027,400.0,False,"""name""=>""Ladce"", ""country""=>""SK"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/330"", ""tyndp2020_proj_id""=>""330"", ""tyndp2020_invest_id""=>""1499"", ""tyndp_status""=>""planned_not_yet_permitting"""
4808,6.140853,49.688695,planned_not_yet_permitting,2025,400.0,False,"""name""=>""Bofferdange"", ""country""=>""LU"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/328"", ""tyndp2020_proj_id""=>""328"", ""tyndp2020_invest_id""=>""1629"", ""tyndp_status""=>""planned_not_yet_permitting"""
2732,-1.645402,42.818157,planned_not_yet_permitting,2029,400.0,False,"""name""=>""Pamplona area"", ""country""=>""ES"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/276"", ""tyndp2020_proj_id""=>""276"", ""tyndp2020_invest_id""=>""1210"", ""tyndp_status""=>""planned_not_yet_permitting"""
2854,-8.273869552394737,42.46748640601422,in_permitting,2022,400.0,False,"""name""=>""Beariz"", ""country""=>""ES"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4"", ""tyndp2020_proj_id""=>""4"", ""tyndp2020_invest_id""=>""499"", ""tyndp_status""=>""in_permitting"""
2887,-7.793621146853301,41.52102394053344,in_permitting,2021,380.0,False,"""name""=>""Ribeira de Pena"", ""country""=>""PT"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1"", ""tyndp2020_proj_id""=>""1"", ""tyndp2020_invest_id""=>""474"", ""tyndp_status""=>""in_permitting"""
2176,20.739984,43.680615,under_construction,2020,220.0,False,"""name""=>""Kraljevo 3"", ""country""=>""RS"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/227"", ""tyndp2020_proj_id""=>""227"", ""tyndp2020_invest_id""=>""1528"", ""tyndp_status""=>""under_construction"""
