planning_horizon,technology,parameter,value,unit,source,further description
2030,direct air capture - liquid,heat-input,0.0,MWh_th/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2030,direct air capture - liquid,heat-output,0.156,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2030,direct air capture - liquid,investment,3290000.0,EUR/(tCO2/h),"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2030,direct air capture - liquid,lifetime,30.0,years,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2030,direct air capture - electrochemical,FOM,4.0,%/year,"Assumption based on Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",
2030,direct air capture - electrochemical,compression-electricity-input,0.11,MWh/tCO2,"Assumption based on Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",
2030,direct air capture - electrochemical,compression-heat-output,0.16,MWh/tCO2,"Assumption based on Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",
2030,direct air capture - electrochemical,electricity-input,3.5,MWh_el/t_CO2,"FOAK/early-scale penalty on BPMED/ESA hybrid; Sabatino et al. (2022) estimate a minimum energy demand of 24 MJ/kgCO₂ = 6.67 MWh/tCO₂ for BPMED baseline ACS Publications, discounted toward 3.5 for an optimistic ESA/mixed-type system at early commercial scale
https://pubs.acs.org/doi/10.1021/acs.iecr.2c00889",
2030,direct air capture - electrochemical,heat-input,0.0,MWh_th/t_CO2,https://pubs.rsc.org/en/content/articlehtml/2025/su/d5su00227c,
2030,direct air capture - electrochemical,heat-output,0.0,MWh/tCO2,Assumption,
2030,direct air capture - electrochemical,investment,10000000.0,EUR/(tCO2/h),Assumption,
2030,direct air capture - electrochemical,lifetime,25.0,years,"Assumption based on Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",
2040,biomass CHP capture,FOM,3.00353,%/year,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2040,biomass CHP capture,capture_rate,0.95,per unit,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2040,biomass CHP capture,compression-electricity-input,0.075,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2040,biomass CHP capture,compression-heat-output,0.13,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2040,biomass CHP capture,electricity-input,0.023,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2040,biomass CHP capture,heat-input,0.66,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2040,biomass CHP capture,heat-output,0.66,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2040,biomass CHP capture,investment,5660000.0,EUR/(tCO2/h),"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2040,biomass CHP capture,lifetime,25.0,years,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2040,cement capture,FOM,3.125,%/year,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2040,cement capture,capture_rate,0.95,per unit,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2040,cement capture,compression-electricity-input,0.14,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2040,cement capture,compression-heat-output,0.24,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2040,cement capture,electricity-input,0.02,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2040,cement capture,heat-input,0.66,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2040,cement capture,heat-output,1.48,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2040,cement capture,investment,2880000.0,EUR/(tCO2/h),"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2040,cement capture,lifetime,25.0,years,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2040,direct air capture - solid,FOM,4.0,%/year,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2040,direct air capture - solid,compression-electricity-input,0.13,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2040,direct air capture - solid,compression-heat-output,0.19,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2040,direct air capture - solid,electricity-input,0.2,MWh_el/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2040,direct air capture - solid,heat-input,1.286,MWh_th/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2040,direct air capture - solid,heat-output,0.39,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2040,direct air capture - solid,investment,2500000.0,EUR/(tCO2/h),"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2040,direct air capture - solid,lifetime,30.0,years,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2040,direct air capture - liquid,FOM,3.87931,%/year,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2040,direct air capture - liquid,compression-electricity-input,0.13,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2040,direct air capture - liquid,compression-heat-output,0.19,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2040,direct air capture - liquid,electricity-input,1.39,MWh_el/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2040,direct air capture - liquid,heat-input,0.0,MWh_th/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2040,direct air capture - liquid,heat-output,0.156,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2040,direct air capture - liquid,investment,2320000.0,EUR/(tCO2/h),"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2040,direct air capture - liquid,lifetime,30.0,years,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2040,direct air capture - electrochemical,FOM,4.0,%/year,"Assumption based on Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",
2040,direct air capture - electrochemical,compression-electricity-input,0.11,MWh/tCO2,"Assumption based on Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",
2040,direct air capture - electrochemical,compression-heat-output,0.16,MWh/tCO2,"Assumption based on Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",
2040,direct air capture - electrochemical,electricity-input,2.5,MWh_el/t_CO2,"Mid-trajectory; technology matures, membrane/electrode improvements reduce cell voltage losses",
2040,direct air capture - electrochemical,heat-input,0.0,MWh_th/t_CO2,https://pubs.rsc.org/en/content/articlehtml/2025/su/d5su00227c,
2040,direct air capture - electrochemical,heat-output,0.0,MWh/tCO2,Assumption,
2040,direct air capture - electrochemical,investment,7500000.0,EUR/(tCO2/h),Assumption,
2040,direct air capture - electrochemical,lifetime,25.0,years,"Assumption based on Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",
2050,biomass CHP capture,FOM,3.00353,%/year,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2050,biomass CHP capture,capture_rate,0.95,per unit,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2050,biomass CHP capture,compression-electricity-input,0.075,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2050,biomass CHP capture,compression-heat-output,0.13,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2050,biomass CHP capture,electricity-input,0.023,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2050,biomass CHP capture,heat-input,0.66,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2050,biomass CHP capture,heat-output,0.66,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2050,biomass CHP capture,investment,5660000.0,EUR/(tCO2/h),"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2050,biomass CHP capture,lifetime,25.0,years,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.a Post comb - small CHP
2050,cement capture,FOM,2.920,%/year,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2050,cement capture,capture_rate,0.95,per unit,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2050,cement capture,compression-electricity-input,0.14,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2050,cement capture,compression-heat-output,0.22,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2050,cement capture,electricity-input,0.018,MWh_el/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2050,cement capture,heat-input,0.66,MWh_th/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2050,cement capture,heat-output,1.48,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2050,cement capture,investment,2700000.0,EUR/(tCO2/h),"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2050,cement capture,lifetime,25.0,years,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln
2050,direct air capture - solid,FOM,4.206,%/year,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2050,direct air capture - solid,compression-electricity-input,0.13,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2050,direct air capture - solid,compression-heat-output,0.19,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2050,direct air capture - solid,electricity-input,0.18,MWh_el/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2050,direct air capture - solid,heat-input,1.102,MWh_th/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2050,direct air capture - solid,heat-output,0.39,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2050,direct air capture - solid,investment,2140000.0,EUR/(tCO2/h),"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2050,direct air capture - solid,lifetime,30.0,years,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Liquid Direct air capture
2050,direct air capture - liquid,FOM,3.58974,%/year,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2050,direct air capture - liquid,compression-electricity-input,0.13,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2050,direct air capture - liquid,compression-heat-output,0.19,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2050,direct air capture - liquid,electricity-input,1.32,MWh_el/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2050,direct air capture - liquid,heat-input,0.0,MWh_th/t_CO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2050,direct air capture - liquid,heat-output,0.156,MWh/tCO2,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2050,direct air capture - liquid,investment,1950000.0,EUR/(tCO2/h),"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2050,direct air capture - liquid,lifetime,30.0,years,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.b Solid Direct air capture
2050,direct air capture - electrochemical,FOM,4.0,%/year,"Assumption based on Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",
2050,direct air capture - electrochemical,compression-electricity-input,0.11,MWh/tCO2,"Assumption based on Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",
2050,direct air capture - electrochemical,compression-heat-output,0.16,MWh/tCO2,"Assumption based on Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",
2050,direct air capture - electrochemical,electricity-input,1.8,MWh_el/t_CO2,"Palakkal et al. (2025) model ESA at 0.6 MWh/tCO₂ at 1% CO₂ MDPI concentration; scaling to 400 ppm and adding balance-of-plant gives ~1.5–2.0 MWh/tCO₂ at mature scale — consistent with Sabatino et al.'s minimum projected BPMED energy of 24 MJ/kgCO₂ with a 29% reduction achievable RSC Publishing
 https://www.mdpi.com/2571-8797/7/1/18
https://pubs.rsc.org/en/content/articlehtml/2026/el/d6el00018e",
2050,direct air capture - electrochemical,heat-input,0.0,MWh_th/t_CO2,https://pubs.rsc.org/en/content/articlehtml/2025/su/d5su00227c,
2050,direct air capture - electrochemical,heat-output,0.0,MWh/tCO2,Assumption,
2050,direct air capture - electrochemical,investment,6000000.0,EUR/(tCO2/h),Assumption,
2050,direct air capture - electrochemical,lifetime,25.0,years,"Assumption based on Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",
all,CO2 pipeline,FOM,0.207,%/year,Danish Energy Agency Technology Data for Energy Transport,
all,CO2 pipeline,investment,11111,EUR/(tCO2/h)/km,Danish Energy Agency Technology Data for Energy Transport,
all,CO2 pipeline,lifetime,50,years,Danish Energy Agency Technology Data for Energy Transport,
all,CO2 submarine pipeline,FOM,0.079,%/year,Danish Energy Agency Technology Data for Energy Transport,
all,CO2 submarine pipeline,investment,29167,EUR/(tCO2/h)/km,Danish Energy Agency Technology Data for Energy Transport,
all,CO2 submarine pipeline,lifetime,50,years,Danish Energy Agency Technology Data for Energy Transport,
