,project_status,length,build_year,underground,v_nom,tags,geometry,num_parallel
6348,under_construction,17.0,2020,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/297"", ""tyndp2020_proj_id""=>""297"", ""tyndp2020_invest_id""=>""445"", ""tyndp_status""=>""under_construction""","LINESTRING (4.26544200000001 51.358062, 4.307132 51.301299)",2
6347,in_permitting,4.0,2025,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/297"", ""tyndp2020_proj_id""=>""297"", ""tyndp2020_invest_id""=>""604"", ""tyndp_status""=>""in_permitting""","LINESTRING (4.307132 51.301299, 4.27917500000001 51.25504)",2
10813,in_permitting,10.0,2025,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/322"", ""tyndp2020_proj_id""=>""322"", ""tyndp2020_invest_id""=>""1476"", ""tyndp_status""=>""in_permitting""","LINESTRING (9.73251299999999 47.623752, 9.80228979023356 47.6377345779987)",2
14499,under_consideration,2.0,2030,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/341"", ""tyndp2020_proj_id""=>""341"", ""tyndp2020_invest_id""=>""1536"", ""tyndp_status""=>""under_consideration""","LINESTRING (22.578278 44.679395, 22.542572 44.612956)",2
9296,planned_not_yet_permitting,203.0,2030,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/343"", ""tyndp2020_proj_id""=>""343"", ""tyndp2020_invest_id""=>""1534"", ""tyndp_status""=>""planned_not_yet_permitting""","LINESTRING (15.26017 44.886816, 16.500092 43.603267)",2
6044,in_permitting,80.0,2029,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/346"", ""tyndp2020_proj_id""=>""346"", ""tyndp2020_invest_id""=>""1544"", ""tyndp_status""=>""in_permitting""","LINESTRING (4.218787 51.424034, 5.061511 51.608344)",2
6087,under_construction,40.0,2023,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/348"", ""tyndp2020_proj_id""=>""348"", ""tyndp2020_invest_id""=>""1546"", ""tyndp_status""=>""under_construction""","LINESTRING (6.86370800000001 53.418536, 6.474759 53.213488)",2
14697,under_consideration,35.512,2036,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/376"", ""tyndp2020_proj_id""=>""376"", ""tyndp2020_invest_id""=>""1559"", ""tyndp_status""=>""under_consideration""","LINESTRING (21.474152 40.839788, 21.475525 41.045181)",2
14758,under_consideration,12.0,2030,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/377"", ""tyndp2020_proj_id""=>""377"", ""tyndp2020_invest_id""=>""1561"", ""tyndp_status""=>""under_consideration""","LINESTRING (5.71701000000001 51.094036, 5.89691199999999 51.140586)",2
8621,in_permitting,131.0,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1"", ""tyndp2020_proj_id""=>""1"", ""tyndp2020_invest_id""=>""4"", ""tyndp_status""=>""in_permitting""","LINESTRING (-7.72338899999999 41.614416, -7.793621146853301 41.52102394053344)",2
6066,under_construction,175.0,2021,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/62"", ""tyndp2020_proj_id""=>""62"", ""tyndp2020_invest_id""=>""735"", ""tyndp_status""=>""under_construction""","LINESTRING (24.588776 59.38778, 24.689026 58.377959)",2
6036,in_permitting,50.0,2025,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103"", ""tyndp2020_proj_id""=>""103"", ""tyndp2020_invest_id""=>""1540"", ""tyndp_status""=>""in_permitting""","LINESTRING (5.46295200000001 51.422333, 5.89691199999999 51.140586)",2
3715,in_permitting,94.0,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142"", ""tyndp2020_proj_id""=>""142"", ""tyndp2020_invest_id""=>""257"", ""tyndp_status""=>""in_permitting""","LINESTRING (26.003265 42.200038, 24.483032 42.09007)",2
8260,in_permitting,74.0,2025,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144"", ""tyndp2020_proj_id""=>""144"", ""tyndp2020_invest_id""=>""270"", ""tyndp_status""=>""in_permitting""","LINESTRING (21.88777 45.30413, 21.2815 45.7426)",2
8367,in_permitting,274.0,2025,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144"", ""tyndp2020_proj_id""=>""144"", ""tyndp2020_invest_id""=>""270"", ""tyndp_status""=>""in_permitting""","LINESTRING (21.2815 45.7426, 21.409607 46.176978)",2
6040,in_permitting,168.0,2023,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1012"", ""tyndp_status""=>""in_permitting""","LINESTRING (28.063202 59.310067, 26.559448 58.359953)",2
10487,in_permitting,44.0,2025,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1634"", ""tyndp_status""=>""in_permitting""","LINESTRING (22.067413 55.076009, 22.740326 55.10273)",2
8589,in_permitting,147.0,2025,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1659"", ""tyndp_status""=>""in_permitting""","LINESTRING (21.295624 56.032924, 22.067413 55.076009)",2
9503,in_permitting,51.0,2023,False,220.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/210"", ""tyndp2020_proj_id""=>""210"", ""tyndp2020_invest_id""=>""1380"", ""tyndp_status""=>""in_permitting""","LINESTRING (13.022919 46.263443, 12.947388 46.363041)",2
1693,in_permitting,,2026,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/227"", ""tyndp2020_proj_id""=>""227"", ""tyndp2020_invest_id""=>""630"", ""tyndp_status""=>""in_permitting""","LINESTRING (20.187378 44.664746, 19.500315 43.953021)",2
12696,in_permitting,147.0,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/230"", ""tyndp2020_proj_id""=>""230"", ""tyndp2020_invest_id""=>""1232"", ""tyndp_status""=>""in_permitting""","LINESTRING (15.038505 52.76751, 16.729431 52.32359)",2
3966,planned_not_yet_permitting,70.0,2029,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/276"", ""tyndp2020_proj_id""=>""276"", ""tyndp2020_invest_id""=>""1207"", ""tyndp_status""=>""planned_not_yet_permitting""","LINESTRING (-0.812988000000009 43.979969, -0.547943 44.563077)",2
14277,in_permitting,15.0,2025,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/297"", ""tyndp2020_proj_id""=>""297"", ""tyndp2020_invest_id""=>""604"", ""tyndp_status""=>""in_permitting""","LINESTRING (4.27917500000001 51.25504, 4.177551 51.162122)",2
14594,under_consideration,70.0,2034,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/325"", ""tyndp2020_proj_id""=>""325"", ""tyndp2020_invest_id""=>""1483"", ""tyndp_status""=>""under_consideration""","LINESTRING (14.5912685597917 46.536256583087, 15.119934 46.263443)",2
12655,under_construction,161.0,2020,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/350"", ""tyndp2020_proj_id""=>""350"", ""tyndp2020_invest_id""=>""1622"", ""tyndp_status""=>""under_construction""","LINESTRING (21.475525 41.045181, 20.725963 41.239159)",2
6355,under_consideration,90.0,2036,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1074"", ""tyndp2020_proj_id""=>""1074"", ""tyndp2020_invest_id""=>""1744"", ""tyndp_status""=>""under_consideration""","LINESTRING (19.756165 45.527517, 19.609222 45.021127)",2
